title,authors,journal,conference,publish_date,doi,impact_factor,citation_count,writing_progress,status,abstract,keywords,related_projects,image_path,file_path
基于深度学习的图像识别算法研究,"[{""name"": ""孙八"", ""affiliation"": ""复旦大学"", ""is_corresponding"": true}, {""name"": ""孙八"", ""affiliation"": ""浙江大学"", ""is_corresponding"": false}, {""name"": ""钱七"", ""affiliation"": ""浙江大学"", ""is_corresponding"": false}, {""name"": ""王五"", ""affiliation"": ""上海交通大学"", ""is_corresponding"": false}]",软件学报,,2024-02-18,10.2749/955,6.06,16,81,submitted,本文研究了基于深度学习的图像识别算法研究的相关问题，提出了创新性的解决方案，通过实验验证了方法的有效性...,"机器学习,深度学习,人工智能,神经网络","[{""project_id"": ""dce420c8-5c3f-4b2f-9c74-91a19032ca32"", ""project_name"": ""关联项目7""}]",/uploads/images/papers/68f70839.png,
机器学习在医疗诊断中的应用,"[{""name"": ""吴十"", ""affiliation"": ""北京大学"", ""is_corresponding"": true}, {""name"": ""吴十"", ""affiliation"": ""北京大学"", ""is_corresponding"": false}, {""name"": ""钱七"", ""affiliation"": ""北京大学"", ""is_corresponding"": false}]",,第15届国际学术会议,2024-06-30,10.5412/791,6.37,22,81,published,本文研究了机器学习在医疗诊断中的应用的相关问题，提出了创新性的解决方案，通过实验验证了方法的有效性...,"机器学习,深度学习,人工智能,神经网络",,,/uploads/files/papers/5a065108.pdf
大数据分析技术综述,"[{""name"": ""钱七"", ""affiliation"": ""北京大学"", ""is_corresponding"": true}, {""name"": ""张三"", ""affiliation"": ""上海交通大学"", ""is_corresponding"": false}]",计算机研究与发展,,2024-08-06,10.2937/703,6.99,25,95,submitted,本文研究了大数据分析技术综述的相关问题，提出了创新性的解决方案，通过实验验证了方法的有效性...,"机器学习,深度学习,人工智能,神经网络",,/uploads/images/papers/66c8fa95.jpg,/uploads/files/papers/4efb2098.pdf
云计算安全机制研究,"[{""name"": ""孙八"", ""affiliation"": ""北京大学"", ""is_corresponding"": true}, {""name"": ""孙八"", ""affiliation"": ""北京大学"", ""is_corresponding"": false}, {""name"": ""王五"", ""affiliation"": ""北京大学"", ""is_corresponding"": false}, {""name"": ""张三"", ""affiliation"": ""清华大学"", ""is_corresponding"": false}]",,第29届国际学术会议,2024-03-02,10.3719/167,2.74,47,97,draft,本文研究了云计算安全机制研究的相关问题，提出了创新性的解决方案，通过实验验证了方法的有效性...,"机器学习,深度学习,人工智能,神经网络",,/uploads/images/papers/83229258.png,/uploads/files/papers/ca884316.pdf
人工智能伦理问题探讨,"[{""name"": ""李四"", ""affiliation"": ""复旦大学"", ""is_corresponding"": true}, {""name"": ""赵六"", ""affiliation"": ""浙江大学"", ""is_corresponding"": false}]",电子学报,,2023-06-18,10.2146/964,6.29,25,79,submitted,本文研究了人工智能伦理问题探讨的相关问题，提出了创新性的解决方案，通过实验验证了方法的有效性...,"机器学习,深度学习,人工智能,神经网络","[{""project_id"": ""3bf4d4da-c35c-4f99-a843-7069571a8fa4"", ""project_name"": ""关联项目9""}]",/uploads/images/papers/af6af942.jpg,
区块链技术在供应链中的应用,"[{""name"": ""周九"", ""affiliation"": ""复旦大学"", ""is_corresponding"": true}, {""name"": ""吴十"", ""affiliation"": ""上海交通大学"", ""is_corresponding"": false}, {""name"": ""张三"", ""affiliation"": ""复旦大学"", ""is_corresponding"": false}, {""name"": ""赵六"", ""affiliation"": ""清华大学"", ""is_corresponding"": false}]",软件学报,,2024-03-11,10.9394/513,2.49,24,66,submitted,本文研究了区块链技术在供应链中的应用的相关问题，提出了创新性的解决方案，通过实验验证了方法的有效性...,"机器学习,深度学习,人工智能,神经网络","[{""project_id"": ""10cc089c-b587-4c33-b7eb-6da97ef29b71"", ""project_name"": ""关联项目9""}]",/uploads/images/papers/bd3519e7.jpg,/uploads/files/papers/0b1045c3.pdf
5G网络优化策略研究,"[{""name"": ""王五"", ""affiliation"": ""清华大学"", ""is_corresponding"": true}, {""name"": ""赵六"", ""affiliation"": ""浙江大学"", ""is_corresponding"": false}, {""name"": ""孙八"", ""affiliation"": ""复旦大学"", ""is_corresponding"": false}]",电子学报,,2023-12-20,10.9429/794,4.79,19,99,published,本文研究了5G网络优化策略研究的相关问题，提出了创新性的解决方案，通过实验验证了方法的有效性...,"机器学习,深度学习,人工智能,神经网络","[{""project_id"": ""75e40f84-a2e0-4dc8-8b6b-e20574a6679d"", ""project_name"": ""关联项目6""}]",/uploads/images/papers/54450308.jpg,
物联网安全防护技术,"[{""name"": ""孙八"", ""affiliation"": ""北京大学"", ""is_corresponding"": true}, {""name"": ""张三"", ""affiliation"": ""清华大学"", ""is_corresponding"": false}, {""name"": ""王五"", ""affiliation"": ""北京大学"", ""is_corresponding"": false}, {""name"": ""张三"", ""affiliation"": ""清华大学"", ""is_corresponding"": false}]",,第23届国际学术会议,2024-09-24,10.6529/102,1.8,48,94,published,本文研究了物联网安全防护技术的相关问题，提出了创新性的解决方案，通过实验验证了方法的有效性...,"机器学习,深度学习,人工智能,神经网络",,/uploads/images/papers/e3b41029.png,/uploads/files/papers/7c278409.pdf
量子计算发展现状与展望,"[{""name"": ""钱七"", ""affiliation"": ""上海交通大学"", ""is_corresponding"": true}, {""name"": ""王五"", ""affiliation"": ""北京大学"", ""is_corresponding"": false}]",,第27届国际学术会议,2024-07-11,10.6843/929,6.43,25,64,published,本文研究了量子计算发展现状与展望的相关问题，提出了创新性的解决方案，通过实验验证了方法的有效性...,"机器学习,深度学习,人工智能,神经网络",,/uploads/images/papers/850ff55a.png,
边缘计算架构设计研究,"[{""name"": ""赵六"", ""affiliation"": ""浙江大学"", ""is_corresponding"": true}, {""name"": ""周九"", ""affiliation"": ""浙江大学"", ""is_corresponding"": false}, {""name"": ""钱七"", ""affiliation"": ""上海交通大学"", ""is_corresponding"": false}, {""name"": ""孙八"", ""affiliation"": ""复旦大学"", ""is_corresponding"": false}]",计算机学报,,2024-05-16,10.8534/782,1.61,39,99,submitted,本文研究了边缘计算架构设计研究的相关问题，提出了创新性的解决方案，通过实验验证了方法的有效性...,"机器学习,深度学习,人工智能,神经网络","[{""project_id"": ""c7769aa3-5a0e-4ec8-b94b-9b2d5bbef01d"", ""project_name"": ""关联项目2""}]",,/uploads/files/papers/b8dfa643.pdf
自然语言处理最新进展,"[{""name"": ""周九"", ""affiliation"": ""复旦大学"", ""is_corresponding"": true}, {""name"": ""周九"", ""affiliation"": ""北京大学"", ""is_corresponding"": false}, {""name"": ""赵六"", ""affiliation"": ""浙江大学"", ""is_corresponding"": false}, {""name"": ""王五"", ""affiliation"": ""北京大学"", ""is_corresponding"": false}]",计算机研究与发展,,2023-01-22,10.8806/446,5.36,39,63,submitted,本文研究了自然语言处理最新进展的相关问题，提出了创新性的解决方案，通过实验验证了方法的有效性...,"机器学习,深度学习,人工智能,神经网络",,,/uploads/files/papers/e8a38fde.pdf
计算机视觉目标检测算法,"[{""name"": ""周九"", ""affiliation"": ""北京大学"", ""is_corresponding"": true}, {""name"": ""张三"", ""affiliation"": ""上海交通大学"", ""is_corresponding"": false}, {""name"": ""王五"", ""affiliation"": ""浙江大学"", ""is_corresponding"": false}, {""name"": ""孙八"", ""affiliation"": ""复旦大学"", ""is_corresponding"": false}]",,第16届国际学术会议,2024-07-11,10.3440/122,6.09,28,67,published,本文研究了计算机视觉目标检测算法的相关问题，提出了创新性的解决方案，通过实验验证了方法的有效性...,"机器学习,深度学习,人工智能,神经网络","[{""project_id"": ""f33b8a3c-93de-4de9-ae7c-65a6b61a7a12"", ""project_name"": ""关联项目1""}]",,/uploads/files/papers/78b8e03b.pdf
强化学习在游戏AI中的应用,"[{""name"": ""周九"", ""affiliation"": ""清华大学"", ""is_corresponding"": true}, {""name"": ""钱七"", ""affiliation"": ""复旦大学"", ""is_corresponding"": false}, {""name"": ""孙八"", ""affiliation"": ""复旦大学"", ""is_corresponding"": false}]",,第17届国际学术会议,2023-04-01,10.7458/232,5.18,35,76,draft,本文研究了强化学习在游戏AI中的应用的相关问题，提出了创新性的解决方案，通过实验验证了方法的有效性...,"机器学习,深度学习,人工智能,神经网络",,/uploads/images/papers/6581fbb7.jpg,
神经网络模型压缩技术,"[{""name"": ""钱七"", ""affiliation"": ""浙江大学"", ""is_corresponding"": true}, {""name"": ""钱七"", ""affiliation"": ""复旦大学"", ""is_corresponding"": false}, {""name"": ""赵六"", ""affiliation"": ""北京大学"", ""is_corresponding"": false}, {""name"": ""赵六"", ""affiliation"": ""上海交通大学"", ""is_corresponding"": false}]",,第5届国际学术会议,2024-04-28,10.9329/877,6.9,31,99,accepted,本文研究了神经网络模型压缩技术的相关问题，提出了创新性的解决方案，通过实验验证了方法的有效性...,"机器学习,深度学习,人工智能,神经网络",,/uploads/images/papers/f6b1cf8a.jpg,/uploads/files/papers/c03d7392.pdf
迁移学习理论与实践,"[{""name"": ""周九"", ""affiliation"": ""清华大学"", ""is_corresponding"": true}, {""name"": ""赵六"", ""affiliation"": ""复旦大学"", ""is_corresponding"": false}, {""name"": ""孙八"", ""affiliation"": ""复旦大学"", ""is_corresponding"": false}]",软件学报,,2023-04-22,10.9121/773,3.59,18,85,submitted,本文研究了迁移学习理论与实践的相关问题，提出了创新性的解决方案，通过实验验证了方法的有效性...,"机器学习,深度学习,人工智能,神经网络",,/uploads/images/papers/442e422b.jpg,/uploads/files/papers/9c68457c.pdf
